1,-78.6962747,35.7274823,-0.143,"(0.0010935852769762278,0.01129034161567688,0.0013407936785370111)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:42.811449,6,10
2,-78.6962747,35.7274823,-0.064,"(0.001090213656425476,0.011519873514771461,0.0013487839605659246)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:43.813372,6,10
3,-78.6962747,35.7274823,-0.046,"(0.0010933290468528867,0.011748036369681358,0.0013509802520275116)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:44.814833,6,10
4,-78.6962747,35.7274823,-0.112,"(0.0010915057500824332,0.012021944858133793,0.0013419734314084053)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:45.816548,6,10
5,-78.6962747,35.7274823,-0.175,"(0.001080005313269794,0.012189965695142746,0.001336987828835845)","(-0.01,0.01,0.01)",12.587,2026-05-22 10:22:46.817579,6,10
6,-78.6962747,35.7274823,-0.15,"(0.0010783385951071978,0.012451455928385258,0.0013245893642306328)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:47.820304,6,10
7,-78.6962747,35.7274823,-0.09,"(0.0010702315485104918,0.01265411265194416,0.0013151352759450674)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:48.821467,6,10
8,-78.6962747,35.7274823,-0.043,"(0.0010756796691566706,0.012860412709414959,0.0013197503285482526)","(-0.01,0.01,-0.01)",12.587,2026-05-22 10:22:49.822813,6,10
9,-78.6962747,35.7274823,-0.04,"(0.0010697956895455718,0.013062664307653904,0.0013252327917143703)","(-0.01,0.01,-0.01)",12.587,2026-05-22 10:22:50.824339,6,10
10,-78.6962747,35.7274823,-0.058,"(0.0010772205423563719,0.013270811177790165,0.001319949165917933)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:51.825483,6,10
11,-78.6962747,35.7274823,-0.107,"(0.001066969009116292,0.013468449003994465,0.0013182469410821795)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:52.826593,6,10
12,-78.6962747,35.7274823,-0.117,"(0.001059992704540491,0.013653656467795372,0.0013290398055687547)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:53.828097,6,10
13,-78.6962747,35.7274823,-0.084,"(0.0010688590118661523,0.013848481699824333,0.001323921256698668)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:54.828955,6,10
14,-78.6962747,35.7274823,-0.028,"(0.0010628631571307778,0.014034523628652096,0.0013236249797046185)","(-0.01,0.01,-0.01)",12.587,2026-05-22 10:22:55.830380,6,10
15,-78.6962747,35.7274823,-0.075,"(0.0010617220541462302,0.014216640964150429,0.0013388169463723898)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:56.831096,6,10
16,-78.6962747,35.7274823,-0.045,"(0.0010556463385000825,0.014394739642739296,0.001338588073849678)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:57.832431,6,10
17,-78.6962747,35.7274823,-0.011,"(0.0010754031827673316,0.014564644545316696,0.0013387500075623393)","(-0.01,0.01,-0.01)",12.587,2026-05-22 10:22:58.833932,6,10
18,-78.6962747,35.7274823,-0.009,"(0.0010728004854172468,0.014636963605880737,0.0013324925675988197)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:22:59.834633,6,10
19,-78.6962747,35.7274823,-0.022,"(0.0010825408389791846,0.014879764057695866,0.0013037649914622307)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:00.836084,6,10
20,-78.6962747,35.7274823,-0.025,"(0.0010799666633829474,0.015032028779387474,0.0012993995333090425)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:01.837102,6,10
21,-78.6962747,35.7274823,-0.072,"(0.0010805003112182021,0.015193991363048553,0.0013005140936002135)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:02.837873,6,10
22,-78.6962747,35.7274823,-0.02,"(0.0010877635795623064,0.01535046473145485,0.0013080192729830742)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:03.839712,6,10
23,-78.6962747,35.7274823,-0.071,"(0.0010869421530514956,0.015502330847084522,0.0013025739463046193)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:04.840852,6,10
24,-78.6962747,35.7274823,-0.01,"(0.0010787838837131858,0.01565605401992798,0.00130437349434942)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:05.842311,6,10
25,-78.6962747,35.7274823,-0.011,"(0.0010862717172130942,0.015793701633810997,0.0013117095222696662)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:06.843830,6,10
26,-78.6962747,35.7274823,-0.047,"(0.001088692108169198,0.015934394672513008,0.0013061577919870615)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:07.844993,6,10
27,-78.6962747,35.7274823,0.003,"(0.001080174115486443,0.01606939546763897,0.0013128233840689063)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:08.846450,6,10
28,-78.6962747,35.7274823,0.022,"(0.0010815126588568091,0.016186097636818886,0.0013137757778167725)","(-0.01,0.01,0.0)",12.587,2026-05-22 10:23:09.847551,6,10
