,TIME,SNR,LAT,LON,DISTANCE,ALT
0,36331201,-796.5956,35.7274823,-78.6962747,35.34353963872628,-0.113
1,36331493,-70.92901,35.7274823,-78.6962747,35.34353963872628,-0.113
2,36331500,-65.83181,35.7274823,-78.6962747,35.34353963872628,-0.113
3,36331507,-67.7885,35.7274823,-78.6962747,35.34353963872628,-0.113
4,36331515,-76.405975,35.7274823,-78.6962747,35.34353963872628,-0.113
5,36331522,-77.261475,35.7274823,-78.6962747,35.34353963872628,-0.113
6,36331530,-82.83385,35.7274823,-78.6962747,35.34353963872628,-0.113
7,36331785,-80.98184,35.7274823,-78.6962747,35.34353963872628,-0.137
8,36331793,-78.561905,35.7274823,-78.6962747,35.34353963872628,-0.137
9,36331800,-79.00804,35.7274823,-78.6962747,35.34353963872628,-0.137
10,36331807,-79.0253,35.7274823,-78.6962747,35.34353963872628,-0.137
11,36331815,-78.75424,35.7274823,-78.6962747,35.34353963872628,-0.137
12,36331822,-79.73418,35.7274823,-78.6962747,35.34353963872628,-0.137
13,36331830,-79.35122,35.7274823,-78.6962747,35.34353963872628,-0.137
14,36331837,-79.97145,35.7274823,-78.6962747,35.34353963872628,-0.137
15,36332093,-84.33559,35.7274823,-78.6962747,35.34353963872628,-0.137
16,36332101,-79.9088,35.7274823,-78.6962747,35.34353963872628,-0.137
17,36332109,-91.12109,35.7274823,-78.6962747,35.34353963872628,-0.137
18,36332117,-83.596436,35.7274823,-78.6962747,35.34353963872628,-0.137
19,36332124,-86.297165,35.7274823,-78.6962747,35.34353963872628,-0.137
20,36332133,-81.540596,35.7274823,-78.6962747,35.34353963872628,-0.137
21,36332140,-83.090546,35.7274823,-78.6962747,35.34353963872628,-0.137
22,36332149,-79.98999,35.7274823,-78.6962747,35.34353963872628,-0.137
23,36332405,-82.04593,35.7274823,-78.6962747,35.34353963872628,-0.137
24,36332414,-81.9332,35.7274823,-78.6962747,35.34353963872628,-0.137
25,36332422,-84.26436,35.7274823,-78.6962747,35.34353963872628,-0.137
26,36332430,-84.45168,35.7274823,-78.6962747,35.34353963872628,-0.137
27,36332440,-95.84747,35.7274823,-78.6962747,35.34353963872628,-0.137
28,36332446,-95.47524,35.7274823,-78.6962747,35.34353963872628,-0.137
29,36332455,-95.1895,35.7274823,-78.6962747,35.34353963872628,-0.137
30,36332462,-81.29846,35.7274823,-78.6962747,35.34353963872628,-0.137
31,36332718,-83.45616,35.7274823,-78.6962747,35.34353963872628,-0.137
32,36332726,-80.7896,35.7274823,-78.6962747,35.34353963872628,-0.137
33,36332734,-80.79288,35.7274823,-78.6962747,35.34353963872628,-0.113
34,36332742,-82.94386,35.7274823,-78.6962747,35.34353963872628,-0.113
35,36332750,-80.70327,35.7274823,-78.6962747,35.34353963872628,-0.113
36,36332758,-80.95929,35.7274823,-78.6962747,35.34353963872628,-0.113
37,36332765,-81.04045,35.7274823,-78.6962747,35.34353963872628,-0.113
38,36332773,-85.47731,35.7274823,-78.6962747,35.34353963872628,-0.113
39,36333029,-79.03824,35.7274823,-78.6962747,35.34353963872628,-0.113
40,36333037,-80.49688,35.7274823,-78.6962747,35.34353963872628,-0.113
41,36333045,-85.63879,35.7274823,-78.6962747,35.34353963872628,-0.113
42,36333053,-85.208855,35.7274823,-78.6962747,35.34353963872628,-0.113
43,36333061,-88.14925,35.7274823,-78.6962747,35.34353963872628,-0.113
44,36333069,-86.34334,35.7274823,-78.6962747,35.34353963872628,-0.113
45,36333077,-84.216034,35.7274823,-78.6962747,35.34353963872628,-0.113
46,36333084,-80.36037,35.7274823,-78.6962747,35.34353963872628,-0.113
47,36333095,-31.17433,35.7274823,-78.6962747,35.34353963872628,-0.113
48,36333127,-21.465715,35.7274823,-78.6962747,35.34353963872628,-0.113
49,36333160,-30.179691,35.7274823,-78.6962747,35.34353963872628,-0.113
