,TIME,SNR,LAT,LON,DISTANCE,ALT
0,37363189,-796.5956,35.7274823,-78.6962747,35.34353963872628,-0.143
1,37363479,-79.28839,35.7274823,-78.6962747,35.34353963872628,-0.064
2,37363486,-65.73854,35.7274823,-78.6962747,35.34353963872628,-0.064
3,37363493,-74.80916,35.7274823,-78.6962747,35.34353963872628,-0.064
4,37363501,-73.31035,35.7274823,-78.6962747,35.34353963872628,-0.064
5,37363508,-76.75224,35.7274823,-78.6962747,35.34353963872628,-0.064
6,37363516,-78.566925,35.7274823,-78.6962747,35.34353963872628,-0.064
7,37363771,-80.265434,35.7274823,-78.6962747,35.34353963872628,-0.064
8,37363778,-82.85625,35.7274823,-78.6962747,35.34353963872628,-0.064
9,37363786,-80.164246,35.7274823,-78.6962747,35.34353963872628,-0.064
10,37363793,-78.46096,35.7274823,-78.6962747,35.34353963872628,-0.064
11,37363802,-79.889145,35.7274823,-78.6962747,35.34353963872628,-0.064
12,37363809,-81.24126,35.7274823,-78.6962747,35.34353963872628,-0.064
13,37363817,-89.54487,35.7274823,-78.6962747,35.34353963872628,-0.064
14,37363825,-80.32781,35.7274823,-78.6962747,35.34353963872628,-0.064
15,37364081,-83.06166,35.7274823,-78.6962747,35.34353963872628,-0.064
16,37364088,-81.242096,35.7274823,-78.6962747,35.34353963872628,-0.064
17,37364095,-84.20212,35.7274823,-78.6962747,35.34353963872628,-0.064
18,37364104,-82.36215,35.7274823,-78.6962747,35.34353963872628,-0.064
19,37364111,-82.378654,35.7274823,-78.6962747,35.34353963872628,-0.064
20,37364119,-90.70196,35.7274823,-78.6962747,35.34353963872628,-0.064
21,37364126,-90.83794,35.7274823,-78.6962747,35.34353963872628,-0.064
22,37364134,-82.54541,35.7274823,-78.6962747,35.34353963872628,-0.064
23,37364390,-84.250725,35.7274823,-78.6962747,35.34353963872628,-0.046
24,37364398,-90.89441,35.7274823,-78.6962747,35.34353963872628,-0.046
25,37364405,-86.77856,35.7274823,-78.6962747,35.34353963872628,-0.046
26,37364413,-84.430084,35.7274823,-78.6962747,35.34353963872628,-0.046
27,37364421,-86.33911,35.7274823,-78.6962747,35.34353963872628,-0.046
28,37364428,-85.860855,35.7274823,-78.6962747,35.34353963872628,-0.046
29,37364436,-84.924255,35.7274823,-78.6962747,35.34353963872628,-0.046
30,37364444,-82.71951,35.7274823,-78.6962747,35.34353963872628,-0.046
31,37364700,-97.20563,35.7274823,-78.6962747,35.34353963872628,-0.046
32,37364708,-80.11085,35.7274823,-78.6962747,35.34353963872628,-0.046
33,37364715,-82.64397,35.7274823,-78.6962747,35.34353963872628,-0.046
